contrast,estimate,SE,df,t.ratio,p.value
"8 - 10 mm,Control - 12 - 15 mm,2 %",19.444444444444432,6.564024661218617,90,2.9622747396617117,0.18930049417140882
"8 - 10 mm,Control - 2 - 5 mm,4 %",27.2222222222222,6.5640246612186335,90,4.147184635526385,0.0062853265584214
"8 - 10 mm,Control - 8 - 10 mm,4 %",33.888888888888864,6.564024661218648,90,5.162821689124672,1.3906343868885784e-4
"8 - 10 mm,Control - 12 - 15 mm,4 %",37.22222222222223,6.564024661218627,90,5.670640215923843,1.6948718762455073e-5
"8 - 10 mm,Control - 2 - 5 mm,8 %",30.555555555555582,6.564024661218635,90,4.65500316232554,0.0010100002878544734
"8 - 10 mm,Control - 8 - 10 mm,8 %",51.111111111111136,6.564024661218634,90,7.7865507442536295,1.6029118032889755e-9
"8 - 10 mm,Control - 12 - 15 mm,8 %",47.777777777777814,6.5640246612186255,90,7.2787322174544915,1.3058028547341394e-8
"12 - 15 mm,Control - 2 - 5 mm,1 %",11.666666666666682,6.564024661218622,90,1.777364843797029,0.9008266716843346
"12 - 15 mm,Control - 8 - 10 mm,1 %",11.111111111111128,6.564024661218616,90,1.692728422663839,0.9298962287540582
"12 - 15 mm,Control - 12 - 15 mm,1 %",16.111111111111132,6.564024661218633,90,2.45445621286256,0.482853069526486
"12 - 15 mm,Control - 2 - 5 mm,2 %",19.99999999999998,6.564024661218631,90,3.0469111607948953,0.15627632475197595
"12 - 15 mm,Control - 8 - 10 mm,2 %",15.555555555555534,6.564024661218623,90,2.3698197917293653,0.54308409133228
"12 - 15 mm,Control - 12 - 15 mm,2 %",19.444444444444446,6.564024661218635,90,2.9622747396617055,0.18930049417141148
"12 - 15 mm,Control - 2 - 5 mm,4 %",27.222222222222214,6.56402466121863,90,4.147184635526389,0.006285326558421733
"12 - 15 mm,Control - 8 - 10 mm,4 %",33.88888888888888,6.564024661218635,90,5.1628216891246845,1.390634386890799e-4
"12 - 15 mm,Control - 12 - 15 mm,4 %",37.22222222222224,6.564024661218634,90,5.670640215923839,1.6948718762455073e-5
"12 - 15 mm,Control - 2 - 5 mm,8 %",30.555555555555596,6.56402466121863,90,4.655003162325547,0.0010100002878543624
"12 - 15 mm,Control - 8 - 10 mm,8 %",51.11111111111115,6.5640246612186255,90,7.786550744253642,1.6029118032889755e-9
"12 - 15 mm,Control - 12 - 15 mm,8 %",47.777777777777835,6.564024661218633,90,7.278732217454487,1.3058028547341394e-8
"2 - 5 mm,1 % - 8 - 10 mm,1 %",-0.5555555555555542,6.564024661218626,90,-0.08463642113319149,1
"2 - 5 mm,1 % - 12 - 15 mm,1 %",4.44444444444445,6.564024661218635,90,0.6770913690655335,0.9999956997212784
"2 - 5 mm,1 % - 2 - 5 mm,2 %",8.333333333333297,6.564024661218632,90,1.2695463169978687,0.9941710060734001
"2 - 5 mm,1 % - 8 - 10 mm,2 %",3.8888888888888515,6.564024661218624,90,0.5924549479323363,0.9999992237543252
"2 - 5 mm,1 % - 12 - 15 mm,2 %",7.777777777777764,6.56402466121862,90,1.1849098958646826,0.9970843466062316
"2 - 5 mm,1 % - 2 - 5 mm,4 %",15.55555555555553,6.564024661218628,90,2.3698197917293626,0.5430840913322819
"2 - 5 mm,1 % - 8 - 10 mm,4 %",22.222222222222197,6.564024661218633,90,3.3854568453276603,0.06640769480214748
